Outdoor_air_temperature,Month,Hour,Predicted_AC_temperature
37.1,8,14,25.83352948
27.2,6,12,25.90025015
39.2,8,13,25.81107566
31.2,6,0,26.2999077
34,7,9,26.02586205
37.8,7,15,25.81329298
34.8,8,13,25.90425156
35,8,18,25.78993381
4,12,17,26.4020031
30,8,0,26.29211244
31,5,9,26.12259794
22,6,3,26.42868054
36.7,6,12,25.91923988
18.5,12,20,26.02889668
24.5,8,7,26.25446684
25.3,6,3,26.35879862
26.2,8,3,26.30653304
26.7,6,1,26.37318474
29,8,0,26.31328878
33.6,8,22,25.7315147
33.6,8,22,25.7315147
25.3,7,6,26.2761457
28.1,7,16,25.99668698
24.3,8,1,26.39080108
31.6,8,1,26.2362138
28,7,12,26.0868706
32.4,7,14,25.94966171
31,8,13,25.98472165
26.2,6,22,25.92142649
10.3,1,4,26.7374444
28.6,6,21,25.89261977
33.5,8,4,26.12992927
18.6,12,5,26.35702649
20.6,9,6,26.34246762
6.9,12,5,26.60478967
43.4,7,0,26.02495292
35.7,8,13,25.88519285
26,6,5,26.29994219
26.1,7,23,25.88492419
17.4,12,21,26.03017416
28.7,8,22,25.83527877
32.7,8,21,25.7725899
31.1,8,23,25.76243906
24.6,6,3,26.37362206
3.3,12,20,26.35077705
29.6,7,6,26.18508743
33,8,1,26.20656692
33.4,9,19,25.78519602
29.4,8,4,26.21675226
34.4,8,18,25.80263961
